".id","ACANTB","ACBOWL","ACBRBK","ACBUBL","ACEAGL","ACECHO","ACHODG","ACJORD","ACLBRK","ACLHAD","ACLONG","ACLPIH","ACROUN","ACSAMP","ACSEAL","ACSEAW","ACUBRK","ACUHAD","ACWHOL","ACWOOD"
"Avg.Surface.Temp..C.",1,0.69,0.89,0.87,0.67,0.76,NA,0.73,0.94,NA,0.7,0.97,NA,0.98,0.81,NA,NA,0.86,0.95,NA
"Avg.Surface.Temp..C.",0.69,1,0.72,0.47,0.24,0.2,0.21,0.23,0.68,0.25,0.21,NA,1,0.52,0.59,0.99,1,0.36,0.6,1
"Avg.Surface.Temp..C.",0.89,0.72,1,0.91,0.75,0.84,NA,0.8,0.89,NA,0.78,0.97,NA,0.99,0.89,NA,NA,0.87,0.91,NA
"Avg.Surface.Temp..C.",0.87,0.47,0.91,1,0.95,0.97,0.86,0.95,0.91,0.96,0.96,0.97,0.95,0.12,0.96,0.82,0.92,0.96,0.93,0.96
"Avg.Surface.Temp..C.",0.67,0.24,0.75,0.95,1,0.97,0.79,0.95,0.77,0.91,0.97,0.9,0.87,-0.22,0.92,0.63,0.83,0.93,0.85,0.88
"Avg.Surface.Temp..C.",0.76,0.2,0.84,0.97,0.97,1,0.87,0.96,0.85,0.93,0.98,0.89,0.89,-0.01,0.96,0.77,0.86,0.94,0.87,0.9
"Avg.Surface.Temp..C.",NA,0.21,NA,0.86,0.79,0.87,1,0.89,NA,0.9,0.87,0.42,NA,0.49,0.96,0.86,NA,0.93,0.86,NA
"Avg.Surface.Temp..C.",0.73,0.23,0.8,0.95,0.95,0.96,0.89,1,0.86,0.95,0.96,0.97,0.88,0.07,0.93,0.82,0.86,0.92,0.86,0.9
"Avg.Surface.Temp..C.",0.94,0.68,0.89,0.91,0.77,0.85,NA,0.86,1,NA,0.81,0.96,NA,0.98,0.87,NA,NA,0.9,0.97,NA
"Avg.Surface.Temp..C.",NA,0.25,NA,0.96,0.91,0.93,0.9,0.95,NA,1,0.9,0.96,NA,0.53,0.92,0.8,NA,0.94,0.95,NA
"Avg.Surface.Temp..C.",0.7,0.21,0.78,0.96,0.97,0.98,0.87,0.96,0.81,0.9,1,0.86,0.88,-0.16,0.94,0.77,0.82,0.94,0.85,0.88
"Avg.Surface.Temp..C.",0.97,NA,0.97,0.97,0.9,0.89,0.42,0.97,0.96,0.96,0.86,1,0.67,NA,0.81,-0.02,0.99,0.87,0.93,1
"Avg.Surface.Temp..C.",NA,1,NA,0.95,0.87,0.89,NA,0.88,NA,NA,0.88,0.67,1,1,0.97,NA,0.96,0.96,0.97,0.97
"Avg.Surface.Temp..C.",0.98,0.52,0.99,0.12,-0.22,-0.01,0.49,0.07,0.98,0.53,-0.16,NA,1,1,0.32,0.9,1,0.12,0.52,1
"Avg.Surface.Temp..C.",0.81,0.59,0.89,0.96,0.92,0.96,0.96,0.93,0.87,0.92,0.94,0.81,0.97,0.32,1,0.82,0.95,0.96,0.92,0.97
"Avg.Surface.Temp..C.",NA,0.99,NA,0.82,0.63,0.77,0.86,0.82,NA,0.8,0.77,-0.02,NA,0.9,0.82,1,NA,0.81,0.78,NA
"Avg.Surface.Temp..C.",NA,1,NA,0.92,0.83,0.86,NA,0.86,NA,NA,0.82,0.99,0.96,1,0.95,NA,1,0.92,0.97,0.95
"Avg.Surface.Temp..C.",0.86,0.36,0.87,0.96,0.93,0.94,0.93,0.92,0.9,0.94,0.94,0.87,0.96,0.12,0.96,0.81,0.92,1,0.93,0.97
"Avg.Surface.Temp..C.",0.95,0.6,0.91,0.93,0.85,0.87,0.86,0.86,0.97,0.95,0.85,0.93,0.97,0.52,0.92,0.78,0.97,0.93,1,0.97
