.id,,ACABIN,ACBRKB,ACBRWN,ACBUBO,ACCADS,ACDKLI,ACDUCK,ACEGLO,ACHADB,ACHNTR,ACHTHB,ACJRDO,ACKEBO,ACLKWO,ACLSIE,ACLVYB,ACMOWB,ACMRSL,ACOTRC,ACSGTB,ACSTNL
Temp (C),ACABIN,1,0.63,,,0.65,,,,0.71,0.66,0.79,0.76,0.45,,0.49,,,0.73,0.76,0.78,0.82
Temp (C),ACBRKB,0.63,1,,,0.7,,,,0.6,0.57,0.81,0.7,0.54,,0.73,,,0.8,0.69,0.65,0.49
Temp (C),ACBRWN,,,1,0.78,0.77,0.84,0.86,0.96,0.77,,,,,0.73,0.76,0.85,0.87,,0.76,,0.88
Temp (C),ACBUBO,,,0.78,1,0.67,0.8,0.89,0.67,0.71,,,,,0.89,0.63,0.8,0.85,,0.71,,0.75
Temp (C),ACCADS,0.65,0.7,0.77,0.67,1,0.77,0.77,0.6,0.8,0.7,0.72,0.8,0.83,0.79,0.76,0.7,0.69,0.73,0.73,0.88,0.74
Temp (C),ACDKLI,,,0.84,0.8,0.77,1,0.88,0.77,0.72,,,,,0.8,0.85,0.93,0.76,,0.68,,0.77
Temp (C),ACDUCK,,,0.86,0.89,0.77,0.88,1,,0.83,,,,,0.88,0.79,0.93,0.94,,0.81,,0.85
Temp (C),ACEGLO,,,0.96,0.67,0.6,0.77,,1,0.82,,,,,0.76,,0.77,0.8,,0.79,,0.8
Temp (C),ACHADB,0.71,0.6,0.77,0.71,0.8,0.72,0.83,0.82,1,0.74,0.75,0.83,0.69,0.8,0.66,0.75,0.88,0.74,0.8,0.91,0.76
Temp (C),ACHNTR,0.66,0.57,,,0.7,,,,0.74,1,0.63,0.83,0.72,,0.6,,,0.72,0.8,0.8,0.98
Temp (C),ACHTHB,0.79,0.81,,,0.72,,,,0.75,0.63,1,0.7,0.58,,0.56,,,0.84,0.75,0.78,0.76
Temp (C),ACJRDO,0.76,0.7,,,0.8,,,,0.83,0.83,0.7,1,0.72,,0.79,,,0.7,0.84,0.89,0.9
