"Project","Park","NETNCode","Site","Date","LabCode","SampleTime","SampleDepth_m","pH_Lab","ANC_ueqL","AppColor_PCU","AppColorFlag","DOC_mgL","DOCFlag","TP_ugL","TPFlag","TN_mgL","TNFlag","NO2_mgL","NO2Flag","NH3_mgL","NH3Flag","NO3_ueqL","NO3Flag","SO4_ueqL","SO4Flag","Cl_ueqL","ClFlag","SEC2016","month","year","mon_year","Date","Sample Time","Stream_Lake Temp","Test Time","Bottle Temp","NH3-N mg/l","NH3 mg/l","PO4mg/L","PO4ug/L","NO2-Nug/l(meter)","NO2 ug/l(meter)","NO2 mg/l(meter)","NO3(strip)","Cl mg/L (meter)","Cl <U+00B5>eq/L (meter)","Cl quantab units (strip)","Cl mg/L (strip)","Cl ueq/L (strip)","Rain Event","QA/QC Notes","month","year"
"NETNStream","ACAD","ACBRWN","Browns Brook",2017-05-03,"SWRL",1899-12-31 14:40:00,0.3,6.61,25.70484,10.549,NA,2.045,NA,2,NA,0.053,NA,NA,"<MRL 0.001",0.0055,NA,NA,"<MRL 1",55.2913541666667,NA,780.512391304348,NA,"ACBRWN_20170503","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACBRWN","Browns Brook",2017-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACBRWN_20170608","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACBRWN","Browns Brook",2017-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACBRWN_20170706","07","2017","072017",2017-07-06,"13:45",16.5,"15:00",19,0.02,0.024,NA,NA,NA,NA,NA,NA,20,564.2,1.6,39,1100.19,NA,NA,"07","2017"
"NETNStream","ACAD","ACBRWN","Browns Brook",2017-08-03,"SWRL",1899-12-31 11:40:00,0.2,6.904,116.9906,3.288,NA,0.851,NA,2.4,NA,NA,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",70.5875,NA,1268.98285714286,NA,"ACBRWN_20170803","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACBRWN","Browns Brook",2017-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACBRWN_20170913","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACBRWN","Browns Brook",2017-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACBRWN_20170913","09","2017","092017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACCADS","Cadillac Stream",2017-05-17,"SWRL",1899-12-31 10:10:00,0.25,6.334,37.316,8.956,NA,2.386,NA,1.3,NA,0.042,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",42.6892708333333,NA,61.1701428571429,NA,"ACCADS_20170517","05","2017","052017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACCADS","Cadillac Stream",2017-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACCADS_20170605","06","2017","062017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACCADS","Cadillac Stream",2017-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACCADS_20170707","07","2017","072017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NETNStream","ACAD","ACCADS","Cadillac Stream",2017-08-09,"SWRL",1899-12-31 14:15:00,0.2,6.525,154.6938,3.635,NA,0.8475,NA,5.9,NA,NA,NA,NA,"<MRL 0.001",NA,"<MRL 0.005",NA,"<MRL 1",16.5979166666667,NA,135.002857142857,NA,"ACCADS_20170809","08","2017","082017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
