".id","MABISA","MIMASA","MIMASB","MIMASC","MORRSA","MORRSB","MORRSC","MORRSD","MORRSE","ROVASA","ROVASB","ROVASC","ROVASD","ROVASE","ROVASF","SAGASA","SAGASB","SAIRSA","SAIRSB","SARASA","SARASB","SARASC","SARASD"
"Temp..C.",1,0.73,0.78,0.83,0.73,0.72,0.66,0.69,0.69,0.66,0.66,0.64,0.68,0.63,0.66,0.8,0.77,0.89,0.92,0.67,0.77,0.53,0.7
"Temp..C.",0.73,1,0.93,0.97,0.78,0.74,0.73,0.74,0.77,0.77,0.77,0.78,0.81,0.73,0.75,0.81,0.84,0.86,0.93,0.81,0.83,0.75,0.8
"Temp..C.",0.78,0.93,1,0.92,0.8,0.75,0.74,0.75,0.76,0.76,0.77,0.77,0.77,0.72,0.76,0.81,0.81,0.89,0.92,0.75,0.8,0.69,0.72
"Temp..C.",0.83,0.97,0.92,1,0.87,0.89,0.86,0.89,0.87,0.93,0.92,0.93,0.94,0.82,0.84,0.87,0.88,0.79,0.94,0.88,0.93,0.86,0.85
"Temp..C.",0.73,0.78,0.8,0.87,1,0.99,0.97,0.94,0.92,0.92,0.91,0.88,0.87,0.83,0.89,0.79,0.77,0.65,0.71,0.7,0.87,0.74,0.6
"Temp..C.",0.72,0.74,0.75,0.89,0.99,1,0.98,0.95,0.91,0.93,0.92,0.9,0.88,0.85,0.88,0.76,0.74,0.77,0.88,0.68,0.88,0.62,0.59
"Temp..C.",0.66,0.73,0.74,0.86,0.97,0.98,1,0.92,0.89,0.93,0.91,0.88,0.86,0.82,0.88,0.74,0.72,0.84,0.78,0.67,0.86,0.7,0.56
"Temp..C.",0.69,0.74,0.75,0.89,0.94,0.95,0.92,1,0.96,0.91,0.91,0.87,0.86,0.84,0.86,0.77,0.77,0.74,0.8,0.69,0.85,0.63,0.59
"Temp..C.",0.69,0.77,0.76,0.87,0.92,0.91,0.89,0.96,1,0.88,0.89,0.86,0.85,0.83,0.84,0.76,0.77,0.61,0.75,0.73,0.85,0.73,0.65
"Temp..C.",0.66,0.77,0.76,0.93,0.92,0.93,0.93,0.91,0.88,1,0.99,0.95,0.94,0.9,0.9,0.76,0.76,0.77,0.97,0.73,0.9,0.69,0.64
"Temp..C.",0.66,0.77,0.77,0.92,0.91,0.92,0.91,0.91,0.89,0.99,1,0.96,0.96,0.93,0.93,0.74,0.75,0.75,0.95,0.75,0.92,0.73,0.63
