"NPSTORET Org ID/Code","StationID","Visit Start Date","Depth to Activity","Depth.Units","Local Characteristic Name","Result Value/Text","Lower Quantification Limit","Upper Quantification Limit"
"NETN","NETN_ACAD_BOWL","04/12/06","epilimnion",NA,"Al.ugL","25.3",NA,NA
"NETN","NETN_ACAD_BOWL","10/11/06","epilimnion",NA,"Al.ugL","13",NA,NA
"NETN","NETN_ACAD_BOWL","05/01/07","epilimnion",NA,"Al.ugL","38",NA,NA
"NETN","NETN_ACAD_BOWL","10/29/07","epilimnion",NA,"Al.ugL","12",NA,NA
"NETN","NETN_ACAD_BOWL","04/30/08","epilimnion",NA,"Al.ugL","30",NA,NA
"NETN","NETN_ACAD_BOWL","10/28/08","epilimnion",NA,"Al.ugL","34",NA,NA
"NETN","NETN_ACAD_BOWL","04/30/09","epilimnion",NA,"Al.ugL","27",NA,NA
"NETN","NETN_ACAD_BOWL","10/26/09","epilimnion",NA,"Al.ugL","49",NA,NA
"NETN","NETN_ACAD_BOWL","04/20/10","epilimnion",NA,"Al.ugL","30",NA,NA
"NETN","NETN_ACAD_BOWL","10/18/10","epilimnion",NA,"Al.ugL","13",NA,NA
"NETN","NETN_ACAD_BOWL","04/25/11","epilimnion",NA,"Al.ugL","29",NA,NA
"NETN","NETN_ACAD_BOWL","10/17/11","epilimnion",NA,"Al.ugL","13",NA,NA
"NETN","NETN_ACAD_BOWL","04/26/12","epilimnion",NA,"Al.ugL","29",NA,NA
"NETN","NETN_ACAD_BOWL","10/15/12","epilimnion",NA,"Al.ugL","15",NA,NA
"NETN","NETN_ACAD_BOWL","04/23/13","epilimnion",NA,"Al.ugL","28",NA,NA
"NETN","NETN_ACAD_BOWL","10/28/13","epilimnion",NA,"Al.ugL","*Present <QL","10",NA
"NETN","NETN_ACAD_BOWL","04/29/14","epilimnion",NA,"Al.ugL","21.1",NA,NA
"NETN","NETN_ACAD_BOWL","10/28/14","epilimnion",NA,"Al.ugL","13.3",NA,NA
"NETN","NETN_ACAD_BOWL","05/04/15","epilimnion",NA,"Al.ugL","20",NA,NA
"NETN","NETN_ACAD_BOWL","10/15/15","epilimnion",NA,"Al.ugL","4.35774",NA,NA
"NETN","NETN_ACAD_BOWL","04/20/16","epilimnion",NA,"Al.ugL","26",NA,NA
"NETN","NETN_ACAD_BOWL","10/24/16","epilimnion",NA,"Al.ugL","4.3",NA,NA
"NETN","NETN_ACAD_BOWL","04/12/17","epilimnion",NA,"Al.ugL","29.9",NA,NA
"NETN","NETN_ACAD_BOWL","10/31/17","epilimnion",NA,"Al.ugL","13.9564",NA,NA
"NETN","NETN_ACAD_BOWL","04/24/18","epilimnion",NA,"Al.ugL","23.1",NA,NA
"NETN","NETN_ACAD_BOWL","10/23/18","epilimnion",NA,"Al.ugL","16.81074",NA,NA
"NETN","NETN_ACAD_BOWL","04/24/19","epilimnion",NA,"Al.ugL","29.4",NA,NA
"NETN","NETN_ACAD_BUBL","04/12/06","epilimnion",NA,"Al.ugL","49.1",NA,NA
"NETN","NETN_ACAD_BUBL","10/17/06","epilimnion",NA,"Al.ugL","16",NA,NA
"NETN","NETN_ACAD_BUBL","05/01/07","epilimnion",NA,"Al.ugL","55",NA,NA
"NETN","NETN_ACAD_BUBL","10/24/07","epilimnion",NA,"Al.ugL","22",NA,NA
"NETN","NETN_ACAD_BUBL","04/24/08","epilimnion",NA,"Al.ugL","41.5",NA,NA
"NETN","NETN_ACAD_BUBL","10/23/08","epilimnion",NA,"Al.ugL","45",NA,NA
"NETN","NETN_ACAD_BUBL","04/23/09","epilimnion",NA,"Al.ugL","60",NA,NA
"NETN","NETN_ACAD_BUBL","10/28/09","epilimnion",NA,"Al.ugL","51",NA,NA
"NETN","NETN_ACAD_BUBL","04/21/10","epilimnion",NA,"Al.ugL","52",NA,NA
"NETN","NETN_ACAD_BUBL","10/14/10","epilimnion",NA,"Al.ugL","19",NA,NA
"NETN","NETN_ACAD_BUBL","04/19/11","epilimnion",NA,"Al.ugL","60",NA,NA
"NETN","NETN_ACAD_BUBL","10/19/11","epilimnion",NA,"Al.ugL","29",NA,NA
"NETN","NETN_ACAD_BUBL","04/30/12","epilimnion",NA,"Al.ugL","48",NA,NA
"NETN","NETN_ACAD_BUBL","10/25/12","epilimnion",NA,"Al.ugL","40",NA,NA
