"NETNCode","Month","Year","Discharge","DO_mgL","pH","SpCond","Temp_C","Turbidity"
"ACABIN",5,2006,1.14,9.47,6.44,25,17.36,NA
"ACABIN",5,2008,0.314,8.71,6.21,27,15.51,NA
"ACABIN",5,2010,0.463,8.75,6.27,30,20.38,NA
"ACABIN",5,2012,17.7,10,5.9,21,9.61,0.46
"ACABIN",5,2014,0.739,8.44,7.65,28,17.8,0.37
"ACABIN",6,2006,2.4,8.1,6.45,27,22.89,NA
"ACABIN",6,2008,NA,6.88,6.3,30,24.29,NA
"ACABIN",6,2010,0.313,7.74,6.27,29,20.99,NA
"ACABIN",6,2012,13.955,7.83,5.77,19,15.44,0.54
"ACABIN",6,2014,0.274,4.93,6.44,46,15.6,0.35
"ACABIN",7,2006,6.26,6.22,5.98,23,22.59,NA
"ACABIN",7,2008,NA,4.04,6.17,38,23.96,NA
"ACABIN",7,2010,0.146,5.78,6.2,39,28.27,NA
"ACABIN",7,2012,0.227,6.31,6.18,36,27.64,2.41
"ACABIN",7,2014,0.242,6.14,6.19,30,21.2,0.37
"ACABIN",8,2006,0.229,6.09,6.17,29,20.02,NA
"ACABIN",8,2008,4.59,6.45,5.76,26,20.21,NA
"ACABIN",8,2010,0.194,6.82,6.16,35,26.32,NA
"ACABIN",8,2012,0.163,6.04,6.14,44,25.5,0.44
"ACABIN",8,2014,1.35,7.52,6.54,35,17.17,0.79
"ACABIN",9,2006,0.353,6.26,5.61,28,16.83,NA
"ACABIN",9,2008,0.811,4.35,5.62,27,16.79,NA
"ACABIN",9,2010,0.096,6.44,6.09,37,15.84,NA
"ACABIN",9,2012,1.43,6.13,5.64,30,17.19,0.22
"ACABIN",9,2014,0,5.41,6.18,40,17.07,0.58
"ACABIN",10,2006,3.54,10.24,5.62,33,7.37,NA
"ACABIN",10,2008,0.413,8.87,5.88,26,11.59,NA
"ACABIN",10,2010,0.591,6.99,5.89,34,13.12,NA
"ACABIN",10,2012,1.2,7.18,5.77,29,14.66,0
"ACABIN",10,2014,0,8.89,6.2,34,14.28,0.69
"ACBRKB",5,2006,1.31,9.27,6.73,31,15.58,NA
"ACBRKB",5,2008,0.893,9.39,6.73,35,16.78,NA
"ACBRKB",5,2010,0.82,9.4,6.56,38,13.69,NA
"ACBRKB",5,2012,2.189,9.81,6.75,35,15.29,0.7
"ACBRKB",5,2014,1.479,9.08,8.16,39,18.18,0.66
"ACBRKB",6,2006,3.08,8.47,6.66,30,20.89,NA
"ACBRKB",6,2008,0.45,9.01,6.77,41,17.8,NA
"ACBRKB",6,2010,1.41,9.51,6.73,36,14.95,NA
"ACBRKB",6,2012,0.273,7.95,6.74,45,20.58,0.99
"ACBRKB",6,2014,0.546,8.78,6.88,44,19.93,0.66
"ACBRKB",7,2006,8.33,8.38,6.7,25,22.19,NA
"ACBRKB",7,2008,NA,6.85,6.76,59,19.6,NA
"ACBRKB",7,2010,0.424,7.63,6.77,50,21.83,NA
"ACBRKB",7,2012,0.388,7.99,6.72,45,19.34,0.82
"ACBRKB",7,2014,1.52,7.72,6.86,44,24.43,0.43
"ACBRKB",8,2006,0.207,9.16,6.31,39,15,NA
"ACBRKB",8,2008,5.68,8.57,6.52,32,20.62,NA
"ACBRKB",8,2010,0.555,7.95,6.88,50,22.38,NA
"ACBRKB",8,2012,0.146,7.9,6.78,56,20.89,0.77
"ACBRKB",8,2014,0.276,7.92,7.08,49,23.22,0.37
"ACBRKB",9,2006,0.168,9.18,6.68,39,15.65,NA
"ACBRKB",9,2008,0.256,8.32,6.66,47,17.14,NA
"ACBRKB",9,2010,0.186,8.2,6.72,52,18.58,NA
"ACBRKB",9,2012,0.649,8.99,6.69,39,17.5,0.86
"ACBRKB",9,2014,0.035,9.31,6.87,57,15.26,0.23
"ACBRKB",10,2006,8.23,10.5,6.49,33,12.22,NA
"ACBRKB",10,2008,2.62,10.83,6.45,30,9.82,NA
"ACBRKB",10,2010,4.31,9.88,6.53,39,13.12,NA
"ACBRKB",10,2012,2.26,10.99,6.33,32,12.2,0.83
"ACBRKB",10,2014,0.161,9.55,6.91,64,12.34,0.09
"ACBRWN",5,2007,0.547,12.95,6.69,129,5.92,NA
"ACBRWN",5,2009,0.347,11.34,6.54,120,9.78,NA
"ACBRWN",5,2011,0.919,11.36,6.33,86,10.23,NA
"ACBRWN",5,2013,0.54,11.34,6.74,107,9.1,0.11
"ACBRWN",6,2009,0.536,10.94,6.54,114,11.03,NA
"ACBRWN",6,2011,0.266,10.93,6.58,90,10.81,NA
"ACBRWN",6,2013,5.364,11.07,6.48,50,10.49,0.13
"ACBRWN",7,2007,0.335,18.91,12.26,405,29.37,NA
"ACBRWN",7,2009,1.06,10.72,6.4,65,12.38,NA
"ACBRWN",7,2011,0.052,8.37,6.46,176,18.79,NA
"ACBRWN",7,2013,0.296,9.77,6.83,112,15.65,0.1
"ACBRWN",8,2007,0.054,9.04,5.89,198,15.84,NA
"ACBRWN",8,2009,0.213,9.7,6.49,109,16.11,NA
"ACBRWN",8,2011,0.06,8.83,6.72,177,16.96,NA
"ACBRWN",8,2013,0.102,10.01,6.79,108,14.81,0.14
"ACBRWN",9,2007,0.058,9.69,6.42,204,13.47,NA
"ACBRWN",9,2009,0.239,10.23,6.44,100,13.57,NA
"ACBRWN",9,2011,0.142,9.41,6.6,140,16.03,NA
"ACBRWN",9,2013,2.983,9.9,5.87,41,16.09,0.1
"ACBRWN",10,2007,0.131,11.47,6.76,156,8.37,NA
"ACBRWN",10,2009,1.35,11.94,6.44,46,7.42,NA
"ACBRWN",10,2011,0.121,10.98,6.55,114,10.49,NA
"ACBRWN",10,2013,0.34,10.26,6.82,121,11.24,0
"ACBUBO",5,2007,0.854,10.92,6.14,32,15.38,NA
"ACBUBO",5,2009,4.3,10.7,6.43,35,12.22,NA
"ACBUBO",5,2011,3.85,10.46,6.63,29,15.87,NA
"ACBUBO",5,2013,0.966,10.12,6.78,30,16.46,0.36
