"ParkCode","LocationType","StationID","month","variable","mean","sd","N","SE","inc.10.4yr","inc.20.4yr","inc.50.4yr","inc.10.8yr","inc.20.8yr","inc.50.8yr","inc.10.12yr","inc.20.12yr","inc.50.12yr"
"ACAD","Stream","ACABIN","05","ACOLOR",46.75,5.1478150704935,8,1.82002747232013,1,1,0.991,1,1,1,1,1,1
"ACAD","Stream","ACABIN","08","ACOLOR",69.1666666666667,9.65621169208837,12,2.78750820988962,1,1,0.988,1,1,1,1,1,1
"ACAD","Stream","ACABIN","05","ANC",91.9,32.3235429458379,8,11.4280982044883,0.784,0.705,0.399,1,0.999,0.892,1,1,0.966
"ACAD","Stream","ACABIN","08","ANC",175.4225,47.9250667336893,8,16.9440698381048,0.918,0.863,0.555,1,1,0.983,1,1,0.998
"ACAD","Stream","ACABIN","05","BP_mmHg",753.00416705,6.72604766546839,10,2.12696302737384,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","06","BP_mmHg",751.875508138,6.15294385906422,10,1.9457316909789,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","07","BP_mmHg",759.073860858,5.0772916929115,10,1.60558060946525,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","08","BP_mmHg",754.875007131667,5.34116466157306,12,1.54186142757266,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","09","BP_mmHg",758.015241108,5.31491104846246,10,1.68072244743349,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","10","BP_mmHg",754.33450173,5.57877342887346,10,1.76416305852675,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","05","Discharge",4.0712,7.18911737435286,10,2.27339852692444,0.115,0.1,0.0638,0.257,0.213,0.109,0.333,0.274,0.134
"ACAD","Stream","ACABIN","06","Discharge",4.2355,6.06906038856098,8,2.14573687809107,0.129,0.112,0.0693,0.301,0.248,0.124,0.392,0.322,0.154
"ACAD","Stream","ACABIN","07","Discharge",1.71875,2.8031921981912,8,0.99107810615511,0.111,0.0969,0.0621,0.244,0.202,0.105,0.316,0.26,0.128
"ACAD","Stream","ACABIN","08","Discharge",1.12583333333333,1.67628826081117,12,0.483902739309369,0.16,0.137,0.0807,0.394,0.325,0.155,0.51,0.423,0.196
"ACAD","Stream","ACABIN","09","Discharge",0.538,0.555622973687094,10,0.175703411716702,0.233,0.198,0.108,0.6,0.505,0.236,0.741,0.64,0.306
"ACAD","Stream","ACABIN","10","Discharge",1.1488,1.32436507219288,10,0.418801008170282,0.2,0.17,0.0957,0.511,0.425,0.199,0.647,0.547,0.255
"ACAD","Stream","ACABIN","05","DO (%)",91.92,5.16027561710074,10,1.63182243042693,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","06","DO (%)",78.22,16.1390348052306,10,5.10361092212606,0.996,0.986,0.819,1,1,1,1,1,1
"ACAD","Stream","ACABIN","07","DO (%)",68.64,11.5780635494696,10,3.66130517104974,1,0.998,0.921,1,1,1,1,1,1
"ACAD","Stream","ACABIN","08","DO (%)",73.6,6.48747044134096,12,1.87277140283397,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","09","DO (%)",58.84,8.15641533463758,10,2.57928499997792,1,1,0.976,1,1,1,1,1,1
"ACAD","Stream","ACABIN","10","DO (%)",78.12,8.50578887843123,10,2.68976661523717,1,1,0.998,1,1,1,1,1,1
"ACAD","Stream","ACABIN","05","DO_mg.L",9.074,0.606212284050178,10,0.191701156317153,1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","06","DO_mg.L",7.096,1.22017485085813,10,0.385853167236796,1,0.998,0.913,1,1,1,1,1,1
"ACAD","Stream","ACABIN","07","DO_mg.L",5.698,0.894188645271977,10,0.28276727769198,1,0.999,0.946,1,1,1,1,1,1
