"ParkCode","LocationType","StationID","variable","mean","sd","N","SE","parm","inc.10.4yr","inc.20.4yr","inc.50.4yr","inc.10.8yr","inc.20.8yr","inc.50.8yr","inc.10.12yr","inc.20.12yr","inc.50.12yr"
"ACAD","Stream","ACABIN","ACOLOR",71,10.1488915650922,5,4.53872228716409,"max",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","BP_mmHg",764.371535912,2.08534636432601,5,0.932595245452999,"max",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","Discharge",6.0982,6.88798346397551,5,3.08039985066874,"max",0.168,0.19,0.26,0.419,0.481,0.663,0.541,0.614,0.801
"ACAD","Stream","ACABIN","DO (%)",91.92,5.4732988224653,5,2.44773364564039,"max",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","DO_mg.L",9.35,0.710035210394527,5,0.317537399372105,"max",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","pH",6.348,0.144810220633766,5,0.0647610994347688,"max",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","Specific conductance",40,5.1478150704935,5,2.30217288664427,"max",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","TN_mg/L",0.397,0.0920706250657613,5,0.0411752352755877,"max",0.961,0.978,0.997,1,1,1,1,1,1
"ACAD","Stream","ACABIN","TP_ug/L",14.24,4.02591604482756,5,1.8004443895883,"max",0.888,0.926,0.982,1,1,1,1,1,1
"ACAD","Stream","ACABIN","Water Temperature",24.858,3.03964965086439,5,1.35937264942326,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Al_ugL",30.34,8.47967504618478,10,2.68150869640374,"max",0.988,0.995,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","ANC",44.910874,14.716186759819,10,4.65366686334412,"max",0.961,0.979,0.997,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","BP_mmHg",755.004410755714,6.93456473613908,7,2.62101910604318,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Ca_ueqL",63.3444,11.3620683191437,10,3.5930014818935,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Cl_ueqL",198.063,25.9902015938486,10,8.21882338834999,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","COND",36.946,3.53722804215705,10,1.11856972166344,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","DO (%)",99.5285714285714,2.33717371035637,7,0.883368629765865,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","DO_mg.L",11.0528571428571,0.302859389030305,7,0.114470089370736,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","DOC_mgL",3.245,0.320459739194246,10,0.101338267423735,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","eqPH",6.7758,0.158039235634699,10,0.0499763944277696,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","FPH",6.3537,0.200635684208412,10,0.063446574200486,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","K_ueqL",6.43440387089,0.915962454140635,10,0.289652760628193,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Mg_ueqL",46.47815,4.98610634847807,10,1.57674527170159,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Na_ueqL",204.2765,31.1458957569051,10,9.84919703579942,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","NO3_ueq/L",1.342,0.599015859556323,5,0.267888036313681,"max",0.597,0.658,0.808,0.991,0.997,1,0.999,1,1
"ACAD","Lake","ACBOWL","pH",6.57714285714286,0.214298412322186,7,0.0809971864800691,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","SO4_ueqL",55.8120729166667,5.63447805655812,10,1.78177840849627,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Specific conductance",37.2857142857143,2.81154084173819,7,1.0626625525915,"max",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","TCOLOR",7.7725,3.14153293260896,10,0.993439941147258,"max",0.883,0.921,0.981,1,1,1,1,1,1
