"ParkCode","LocationType","StationID","variable","mean","sd","N","SE","parm","inc.10.4yr","inc.20.4yr","inc.50.4yr","inc.10.8yr","inc.20.8yr","inc.50.8yr","inc.10.12yr","inc.20.12yr","inc.50.12yr"
"ACAD","Stream","ACABIN","ACOLOR",45.4,5.68330889535313,5,2.54165300542777,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","BP_mmHg",747.435409632,2.99625366731267,5,1.33996537558884,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","Discharge",0.1604,0.120603897117796,5,0.0539357024613567,"min",0.298,0.337,0.459,0.744,0.812,0.942,0.87,0.92,0.987
"ACAD","Stream","ACABIN","DO (%)",57.52,9.62273349937532,5,4.30341724679353,"min",0.998,0.999,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","DO_mg.L",5.376,0.880017045289465,5,0.393555586925151,"min",0.998,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","pH",5.788,0.247931442136732,5,0.110878311675458,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","Specific conductance",25,4.06201920231798,5,1.81659021245849,"min",0.999,1,1,1,1,1,1,1,1
"ACAD","Stream","ACABIN","TN_mg/L",0.2456,0.107388546875354,5,0.0480256181636426,"min",0.612,0.672,0.82,0.993,0.998,1,1,1,1
"ACAD","Stream","ACABIN","TP_ug/L",8.48,2.9685013053728,5,1.32755414202209,"min",0.765,0.82,0.929,1,1,1,1,1,1
"ACAD","Stream","ACABIN","Water Temperature",11.194,2.76232329751606,5,1.23534853381546,"min",0.943,0.966,0.995,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Al_ugL",16.865774,8.43495749654601,10,2.66736776557973,"min",0.758,0.813,0.925,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","ANC",37.252,16.8127146330785,10,5.31664718909703,"min",0.823,0.871,0.958,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","BP_mmHg",746.748400447143,5.45387757445657,7,2.06137196328632,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Ca_ueqL",52.6949,7.40881466677813,10,2.34287291090803,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Cl_ueqL",174.465442857143,23.2434825627263,10,7.35023456526228,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","COND",33.589,2.79938267004233,10,0.885242527973738,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","DO (%)",93.8142857142857,1.57419669612639,7,0.594990424664277,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","DO_mg.L",10.3085714285714,0.499680850524565,7,0.18886160934132,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","DOC_mgL",1.877,0.225341715820415,10,0.0712593073842911,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","eqPH",6.6196,0.241545118858661,10,0.0763832733289458,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","FPH",6.194,0.248873015366829,10,0.0787005576713264,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","K_ueqL",5.91598,0.977904091866319,10,0.309240426349611,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Mg_ueqL",41.33076857632,4.26549404669278,10,1.34886765334378,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Na_ueqL",184.8845,15.6366162953072,10,4.94473223912748,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","NO3_ueq/L",1.342,0.599015859556323,5,0.267888036313681,"min",0.597,0.658,0.808,0.991,0.997,1,0.999,1,1
"ACAD","Lake","ACBOWL","pH",6.26571428571429,0.141404519359312,7,0.0534458846407654,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","SO4_ueqL",52.51,6.87450200216552,10,2.17390841062308,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Specific conductance",33.2857142857143,2.28868854108532,7,0.865042958313569,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","TCOLOR",4.5,1.08012344973464,10,0.341565025531987,"min",0.997,0.999,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","TN_mg/L",0.1323,0.0238283211512874,10,0.00753517676560337,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBOWL","Water Temperature",10.1842857142857,1.80479783856676,7,0.682149463942077,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","ACOLOR",22,6.59545297913646,5,2.94957624075053,"min",0.858,0.901,0.972,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","BP_mmHg",753.977672866,6.66251725132834,5,2.97956829504704,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","Discharge",0.1582,0.0802508566932466,5,0.0358892741637387,"min",0.511,0.569,0.724,0.969,0.986,0.999,0.995,0.999,1
"ACAD","Stream","ACBRKB","DO (%)",85.72,6.39703056112756,5,2.86083903776497,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","DO_mg.L",7.696,0.554553874749785,5,0.248004032225285,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","pH",6.496,0.222441003414389,5,0.0994786409235672,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","Specific conductance",32.4,5.41294744108974,5,2.42074368738204,"min",0.998,0.999,1,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","TN_mg/L",0.1708,0.0444038286637538,5,0.0198579958706814,"min",0.924,0.953,0.991,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","TP_ug/L",4.26,1.31643457870112,5,0.588727441181401,"min",0.842,0.887,0.966,1,1,1,1,1,1
"ACAD","Stream","ACBRKB","Water Temperature",11.94,1.24426685240747,5,0.556453052826561,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","ACOLOR",4.8,1.78885438199983,5,0.8,"min",0.723,0.781,0.904,0.999,1,1,1,1,1
"ACAD","Stream","ACBRWN","ANC",56.402,11.5406031038243,5,5.16111460829926,"min",0.984,0.993,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","BP_mmHg",754.56,5.16410689277439,5,2.30945881106375,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","Discharge",0.0842,0.0805369480424978,5,0.0360172181046788,"min",0.212,0.239,0.329,0.543,0.615,0.799,0.682,0.755,0.911
"ACAD","Stream","ACBRWN","DO (%)",91.64,4.85056697716875,5,2.169239498073,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","DO_mg.L",9.028,0.711526527966456,5,0.31820433686548,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","FPH",6.558,0.160996894379985,5,0.072,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","pH",6.048,0.295330323536206,5,0.132075735848793,"min",1,1,1,1,1,1,1,1,1
"ACAD","Stream","ACBRWN","Specific conductance",72.2,36.2312020225661,5,16.2030861257971,"min",0.518,0.577,0.731,0.972,0.988,0.999,0.996,0.999,1
"ACAD","Stream","ACBRWN","TP_ug/L",2.4,1.43178210632764,5,0.640312423743285,"min",0.413,0.464,0.611,0.906,0.946,0.993,0.973,0.988,1
"ACAD","Stream","ACBRWN","Water Temperature",7.964,1.70012646588423,5,0.760319669612723,"min",0.978,0.989,0.999,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","ACOLOR",12.3495,5.09971156591778,10,1.61267039582041,"min",0.872,0.913,0.977,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","Al_ugL",29.025222,13.442220986444,10,4.25080351284784,"min",0.807,0.858,0.951,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","ANC",61.6637,7.98660831990373,10,2.52558730705465,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","BP_mmHg",743.965014334,3.16544683655194,10,1.00100218156789,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","Ca_ueqL",75.1441,6.8265675684539,10,2.15875021173518,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","CHLA_ugL",1.6518,0.569784715679722,10,0.180181747749938,"min",0.946,0.969,0.995,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","Cl_ueqL",111.889014285714,12.5540028601066,10,3.9699242790205,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","COND",28.672,1.3951009521417,10,0.441169657463732,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","DO (%)",3.67,3.44256041664082,10,1.08863318993232,"min",0.356,0.402,0.539,0.84,0.895,0.979,0.938,0.968,0.997
"ACAD","Lake","ACBUBL","DO_mg.L",0.364,0.3360952246016,10,0.106282642044691,"min",0.364,0.411,0.55,0.851,0.904,0.982,0.944,0.972,0.998
"ACAD","Lake","ACBUBL","DOC_mgL",2.1091,0.150743675010116,10,0.0476693355896173,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","eqPH",6.8456,0.237691770530193,10,0.0751647375953497,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","FPH",6.388,0.162945116867954,10,0.0515277702905056,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","K_ueqL",5.43813,0.860093301205037,10,0.271985383206116,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","Mg_ueqL",32.90533,2.19924363970384,10,0.695461903110284,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","Na_ueqL",130.3475,9.39508448604908,10,2.97098657856275,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","NO3_ueq/L",2.13555555555556,0.696690589700893,9,0.232230196566964,"min",0.947,0.97,0.996,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","pH",5.721,0.22849507653339,10,0.0722564875980004,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","SO4_ueqL",48.292,8.07535867796458,10,2.55365263451742,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","Specific conductance",28.067,1.60152739595675,10,0.506447430638166,"min",1,1,1,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","T_Dis_P_ugL",1.72,0.506951674225463,5,0.226715680975093,"min",0.867,0.909,0.976,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","TCOLOR",5.533,1.90683012119882,10,0.60299262940032,"min",0.947,0.969,0.996,1,1,1,1,1,1
"ACAD","Lake","ACBUBL","TN_mg/L",0.1085,0.0102983278038503,10,0.00325661719512066,"min",1,1,1,1,1,1,1,1,1
