SampType,ParkCode,NETNCode,Description,Latitude,Longitude,Date,SampEventCode,Year,Rep,Depth_m,Temp_C,DO_mgL,DO_PerSat,pH,SpCond,Turbidity,Discharge,pH,ANC,AppColor,DOC,TP,TN,NO3,NO2,NH3,NO3_ueqL,Cl,SO4
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,,,5/25/2006,66,2006,,0.21,17.36,9.47,98.7,6.44,25,,1.14,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,6/26/2006,5,2006,,0.35,22.89,8.1,94.3,6.45,27,,2.4,,,40,,10,0.43,,<MRL 0.002,0.006,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,7/24/2006,17,2006,,0.16,22.59,6.22,71.9,5.98,23,,6.26,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,8/30/2006,31,2006,,-0.04,20.02,6.09,67,6.17,29,,0.229,,,60,,14,0.47,,<MRL 0.002,0.015,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,8/30/2006,31,2006,,-0.04,20.02,6.09,67,6.17,29,,0.229,,,60,,12,0.48,,<MRL 0.002,0.016,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,9/13/2006,42,2006,,-0.06,16.83,6.26,64.6,5.61,28,,0.353,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,10/31/2006,61,2006,,0.03,7.37,10.24,85.1,5.62,33,,3.54,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,0,0,5/13/2008,148,2008,,0.07,15.51,8.71,87.3,6.21,27,,0.314,6.35,81.60,41,,6,0.167,,<MRL 0.005,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365067,-68.272507,6/11/2008,164,2008,,0.27,24.29,6.88,82.1,6.3,30,,,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365013,-68.272461,7/7/2008,173,2008,,0.12,23.96,4.04,47.9,6.17,38,,,,,,,,,,,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365078,-68.272522,8/4/2008,184,2008,,0.09,20.21,6.45,71.3,5.76,26,,4.59,6.06,101.00,70,,9.6,0.318,,<MRL 0.005,,,,
NETNStreams,ACAD,ACABIN,Aunt Betty Pond inlet/Gilmore Meadow Outlet,44.365055,-68.272514,9/11/2008,201,2008,,0.40,16.79,4.35,44.8,5.62,27,,0.811,,,,,,,,,,,,
