"LocationID","ParkCode","LocationType","Description","Project","NETNCode","CV_SiteCode","NPStoret_SiteCode","StartUTMX","StartUTMY","UtmZone","StartLat","StartLon","Datum","EstHError","AccNotes","Elevation","EstVError","Aspect","Slope","Notes","LocationID_OLD"
"MORR_Stream_MORRSE","MORR","Stream","Passaic River (Stream E)","NETNStreams","MORRSE","MORR_SE00","NETN_MORR_SE00",537866.00,4511309.00,"18",40.75,-74.55,"NAD83",,"None",,,,,,"MORR_Stream_MORRSE"
"MORR_Stream_MORRSD","MORR","Stream","Indian Grove Brook (Stream D)","NETNStreams","MORRSD","MORR_SD00","NETN_MORR_SD00",536690.00,4510502.00,"18",40.74,-74.56,"NAD83",,"None",,,,,,"MORR_Stream_MORRSD"
"MORR_Stream_MORRSB","MORR","Stream","Primrose Brook Confluence (Stream B)","NETNStreams","MORRSB","MORR_SB00","NETN_MORR_SB00",539722.00,4512703.00,"18",40.76,-74.52,"NAD83",,"None",,,,,,"MORR_Stream_MORRSB"
"ROVA_Pond_ROVAPA","ROVA","Pond","Pond A","NETNPonds","ROVAPA","ROVA_PA00","NETN_ROVA_PA00",591421.00,4624002.00,"18",41.76,-73.90,"NAD83",,"None",,,,,,"ROVA_Pond_ROVAPA"
"ROVA_Stream_ROVASD","ROVA","Stream","Lower Crum Elbow Creek (Stream D)","NETNStreams","ROVASD","ROVA_SD00","NETN_ROVA_SD00",587613.00,4626868.00,"18",41.78,-73.94,"NAD83",,"None",,,,,,"ROVA_Stream_ROVASD"
"ROVA_Stream_ROVASA","ROVA","Stream","Lower FDR Brook (Stream A)","NETNStreams","ROVASA","ROVA_SA00","NETN_ROVA_SA00",588131.00,4624139.00,"18",41.76,-73.93,"NAD83",,"None",,,,,,"ROVA_Stream_ROVASA"
"SARA_Stream_SARASB","SARA","Stream","American's Creek (Stream B)","NETNStreams","SARASB","SARA_SB00","NETN_SARA_SB00",611627.00,4759188.00,"18",42.97,-73.63,"NAD83",,"None",,,,,,"SARA_Stream_SARASB"
"SARA_Stream_SARASC","SARA","Stream","Upper Mill Creek (Stream C)","NETNStreams","SARASC","SARA_SC00","NETN_SARA_SC00",610160.00,4761410.00,"18",42.99,-73.64,"NAD83",,"None",,,,,,"SARA_Stream_SARASC"
"SARA_Stream_SARASD","SARA","Stream","Mill Creek Confluence (Stream D)","NETNStreams","SARASD","SARA_SD00","NETN_SARA_SD00",612050.00,4760504.00,"18",42.98,-73.62,"NAD83",,"None",,,,,,"SARA_Stream_SARASD"
"SARA_Stream_SARASA","SARA","Stream","Kroma Kill (Stream A)","NETNStreams","SARASA","SARA_SA00","NETN_SARA_SA00",612692.00,4762390.00,"18",43.00,-73.61,"NAD83",,"None",,,,,,"SARA_Stream_SARASA"
"WEFA_Pond_WEFAPA","WEFA","Pond","Weir Pond","NETNPonds","WEFAPA","WEFA_PA00","NETN_WEFA_PA00",629721.00,4568723.00,"18",41.25,-73.45,"NAD83",,"None",,,,,,"WEFA_Pond_WEFAPA"
"ACAD_Lake_WOOD","ACAD","Lake","Lake Wood","NETNLakes","ACWOOD","ACAD_WOOD","NETN_ACAD_WOOD",558249.31,4917426.00,"19",44.40,-68.26,"NAD83",0.00,"Coordinates are for centroid derived from GIS ""ponds"" theme polygons. Elevation obtained from Maine IF&W records.",41.45,0.00,,0,,"ACAD_LAKES_0435"
